state,district,block,village,business_category,commodity_or_service,unit,date,year,month,season,festival_month_flag,fuel_price_index,mandi_footfall_index,historical_price_inr,historical_demand_volume,price_next_1m,price_next_3m,price_next_6m,demand_next_1m,demand_next_3m,price_volatility_3m,price_trend,pricing_recommendation
Jharkhand,Dhanbad,Baliapur,Dhangi,Poultry & Egg Production,Broiler Live Bird,INR/Kg,2024-09-01,2024,9,Monsoon,0,88.7,104.72,107.27,157.1,109.9,113.04,120.26,162.2,165.5,2.17,Upward,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Fisheries / Aquaculture,Freshwater Rohu Fish,INR/Kg,2024-01-01,2024,1,Winter,0,91.26,99.64,177.74,57.9,177.04,177.34,165.55,54.5,52.9,0.0,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Fisheries / Aquaculture,Freshwater Rohu Fish,INR/Kg,2024-02-01,2024,2,Winter,0,92.85,101.45,177.04,54.5,182.18,174.68,168.56,59.9,55.4,0.35,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Fisheries / Aquaculture,Freshwater Rohu Fish,INR/Kg,2024-03-01,2024,3,Summer,1,93.73,102.26,182.18,59.9,177.34,169.22,164.47,52.9,54.1,2.28,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Fisheries / Aquaculture,Freshwater Rohu Fish,INR/Kg,2024-04-01,2024,4,Summer,0,92.59,106.36,177.34,52.9,174.68,165.55,162.19,55.4,58.6,2.36,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Fisheries / Aquaculture,Freshwater Rohu Fish,INR/Kg,2024-05-01,2024,5,Summer,0,91.68,106.5,174.68,55.4,169.22,168.56,162.49,54.1,66.6,3.11,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Fisheries / Aquaculture,Freshwater Rohu Fish,INR/Kg,2024-06-01,2024,6,Monsoon,0,90.33,104.39,169.22,54.1,165.55,164.47,170.31,58.6,64.4,3.38,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Fisheries / Aquaculture,Freshwater Rohu Fish,INR/Kg,2024-07-01,2024,7,Monsoon,0,91.25,104.34,165.55,58.6,168.56,162.19,172.27,66.6,56.9,3.75,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Fisheries / Aquaculture,Freshwater Rohu Fish,INR/Kg,2024-08-01,2024,8,Monsoon,1,92.77,102.9,168.56,66.6,164.47,162.49,173.8,64.4,60.8,1.6,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Fisheries / Aquaculture,Freshwater Rohu Fish,INR/Kg,2024-09-01,2024,9,Monsoon,0,93.28,104.36,164.47,64.4,162.19,170.31,177.76,56.9,54.0,1.73,Upward,Gradual Price Hike
Jharkhand,Dhanbad,Baliapur,Dhangi,Agri-input & Farm Supply,Hybrid Paddy/Wheat Seed & Fert,INR/50Kg Bag,2024-01-01,2024,1,Winter,0,92.78,100.95,1478.4,146.6,1509.78,1494.7,1445.14,130.5,141.0,0.0,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Agri-input & Farm Supply,Hybrid Paddy/Wheat Seed & Fert,INR/50Kg Bag,2024-02-01,2024,2,Winter,0,90.54,97.91,1509.78,130.5,1546.55,1487.55,1417.58,161.8,132.1,15.69,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Agri-input & Farm Supply,Hybrid Paddy/Wheat Seed & Fert,INR/50Kg Bag,2024-03-01,2024,3,Summer,1,91.36,98.19,1546.55,161.8,1494.7,1463.25,1408.66,141.0,145.1,27.85,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Agri-input & Farm Supply,Hybrid Paddy/Wheat Seed & Fert,INR/50Kg Bag,2024-04-01,2024,4,Summer,0,89.43,97.2,1494.7,141.0,1487.55,1445.14,1416.92,132.1,149.3,21.78,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Agri-input & Farm Supply,Hybrid Paddy/Wheat Seed & Fert,INR/50Kg Bag,2024-05-01,2024,5,Summer,0,88.86,98.48,1487.55,132.1,1463.25,1417.58,1439.5,145.1,157.5,26.29,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Agri-input & Farm Supply,Hybrid Paddy/Wheat Seed & Fert,INR/50Kg Bag,2024-06-01,2024,6,Monsoon,0,90.17,97.29,1463.25,145.1,1445.14,1408.66,1474.64,149.3,146.9,13.46,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Agri-input & Farm Supply,Hybrid Paddy/Wheat Seed & Fert,INR/50Kg Bag,2024-07-01,2024,7,Monsoon,0,90.24,97.12,1445.14,149.3,1417.58,1416.92,1485.73,157.5,170.1,17.37,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Agri-input & Farm Supply,Hybrid Paddy/Wheat Seed & Fert,INR/50Kg Bag,2024-08-01,2024,8,Monsoon,1,88.95,97.88,1417.58,157.5,1408.66,1439.5,1500.84,146.9,150.1,18.78,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Agri-input & Farm Supply,Hybrid Paddy/Wheat Seed & Fert,INR/50Kg Bag,2024-09-01,2024,9,Monsoon,0,88.09,99.17,1408.66,146.9,1416.92,1474.64,1542.39,170.1,145.3,15.53,Upward,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Food Processing,Mustard Oil,INR/Litre,2024-01-01,2024,1,Winter,0,90.82,101.32,144.69,389.8,144.63,146.72,137.35,393.4,391.8,0.0,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Food Processing,Mustard Oil,INR/Litre,2024-02-01,2024,2,Winter,0,90.91,102.14,144.63,393.4,149.33,145.24,143.38,386.3,342.3,0.03,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Food Processing,Mustard Oil,INR/Litre,2024-03-01,2024,3,Summer,1,91.44,101.08,149.33,386.3,146.72,140.89,137.71,391.8,361.8,2.2,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Food Processing,Mustard Oil,INR/Litre,2024-04-01,2024,4,Summer,0,91.31,98.4,146.72,391.8,145.24,137.35,139.01,342.3,343.8,1.92,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Food Processing,Mustard Oil,INR/Litre,2024-05-01,2024,5,Summer,0,90.72,96.57,145.24,342.3,140.89,143.38,141.85,361.8,439.7,1.69,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Food Processing,Mustard Oil,INR/Litre,2024-06-01,2024,6,Monsoon,0,90.97,95.56,140.89,361.8,137.35,137.71,144.09,343.8,358.6,2.48,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Food Processing,Mustard Oil,INR/Litre,2024-07-01,2024,7,Monsoon,0,92.03,97.3,137.35,343.8,143.38,139.01,148.4,439.7,408.3,3.23,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Food Processing,Mustard Oil,INR/Litre,2024-08-01,2024,8,Monsoon,1,91.48,99.63,143.38,439.7,137.71,141.85,147.15,358.6,379.3,2.48,Stable,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Food Processing,Mustard Oil,INR/Litre,2024-09-01,2024,9,Monsoon,0,90.73,98.97,137.71,358.6,139.01,144.09,152.82,408.3,361.6,2.76,Upward,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Retail / Kirana,Grocery Essentials,INR/Order,2024-01-01,2024,1,Winter,0,89.14,100.6,467.14,126.5,474.33,472.37,456.58,130.3,118.9,0.0,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Retail / Kirana,Grocery Essentials,INR/Order,2024-02-01,2024,2,Winter,0,88.88,101.64,474.33,130.3,483.27,477.11,460.97,158.2,131.3,3.59,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Retail / Kirana,Grocery Essentials,INR/Order,2024-03-01,2024,3,Summer,1,89.25,101.04,483.27,158.2,472.37,467.08,455.04,118.9,131.3,6.6,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Retail / Kirana,Grocery Essentials,INR/Order,2024-04-01,2024,4,Summer,0,91.03,101.37,472.37,118.9,477.11,456.58,450.81,131.3,122.7,4.74,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Retail / Kirana,Grocery Essentials,INR/Order,2024-05-01,2024,5,Summer,0,92.05,101.39,477.11,131.3,467.08,460.97,464.68,131.3,142.9,4.46,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Retail / Kirana,Grocery Essentials,INR/Order,2024-06-01,2024,6,Monsoon,0,91.86,101.54,467.08,131.3,456.58,455.04,469.72,122.7,127.7,4.1,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Retail / Kirana,Grocery Essentials,INR/Order,2024-07-01,2024,7,Monsoon,0,91.84,100.38,456.58,122.7,460.97,450.81,485.26,142.9,127.1,8.38,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Retail / Kirana,Grocery Essentials,INR/Order,2024-08-01,2024,8,Monsoon,1,90.64,100.41,460.97,142.9,455.04,464.68,490.21,127.7,124.0,4.3,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Retail / Kirana,Grocery Essentials,INR/Order,2024-09-01,2024,9,Monsoon,0,90.61,101.16,455.04,127.7,450.81,469.72,498.87,127.1,128.6,2.51,Upward,Gradual Price Hike
Jharkhand,Dhanbad,Baliapur,Dhangi,Tailoring & Garment Services,Stitching Job,INR/Job,2024-01-01,2024,1,Winter,0,91.82,101.73,298.8,185.1,298.65,304.93,286.53,183.5,158.9,0.0,Upward,Gradual Price Hike
Jharkhand,Dhanbad,Baliapur,Dhangi,Tailoring & Garment Services,Stitching Job,INR/Job,2024-02-01,2024,2,Winter,0,92.19,103.27,298.65,183.5,309.38,291.49,287.47,188.5,181.5,0.07,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Tailoring & Garment Services,Stitching Job,INR/Job,2024-03-01,2024,3,Summer,1,91.82,103.52,309.38,188.5,304.93,292.4,277.26,158.9,186.6,5.02,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Tailoring & Garment Services,Stitching Job,INR/Job,2024-04-01,2024,4,Summer,0,89.9,101.99,304.93,158.9,291.49,286.53,279.41,181.5,192.6,4.4,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Tailoring & Garment Services,Stitching Job,INR/Job,2024-05-01,2024,5,Summer,0,88.26,101.58,291.49,181.5,292.4,287.47,283.33,186.6,204.7,7.6,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Tailoring & Garment Services,Stitching Job,INR/Job,2024-06-01,2024,6,Monsoon,0,88.9,103.82,292.4,186.6,286.53,277.26,288.5,192.6,179.2,6.13,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Tailoring & Garment Services,Stitching Job,INR/Job,2024-07-01,2024,7,Monsoon,0,90.17,105.13,286.53,192.6,287.47,279.41,285.86,204.7,171.4,2.58,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Tailoring & Garment Services,Stitching Job,INR/Job,2024-08-01,2024,8,Monsoon,1,92.02,104.48,287.47,204.7,277.26,283.33,296.52,179.2,179.4,2.57,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Tailoring & Garment Services,Stitching Job,INR/Job,2024-09-01,2024,9,Monsoon,0,91.03,103.97,277.26,179.2,279.41,288.5,304.52,171.4,181.4,4.61,Upward,Gradual Price Hike
Jharkhand,Dhanbad,Baliapur,Dhangi,Repair & Maintenance,Service Job,INR/Service,2024-01-01,2024,1,Winter,0,90.74,98.57,222.96,410.2,219.52,219.9,213.23,442.7,441.7,0.0,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Repair & Maintenance,Service Job,INR/Service,2024-02-01,2024,2,Winter,0,91.65,96.16,219.52,442.7,230.05,218.97,215.93,501.6,459.4,1.72,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Repair & Maintenance,Service Job,INR/Service,2024-03-01,2024,3,Summer,1,91.01,96.46,230.05,501.6,219.9,218.85,209.07,441.7,423.5,4.38,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Repair & Maintenance,Service Job,INR/Service,2024-04-01,2024,4,Summer,0,90.32,95.33,219.9,441.7,218.97,213.23,211.79,459.4,425.5,4.88,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Repair & Maintenance,Service Job,INR/Service,2024-05-01,2024,5,Summer,0,89.99,93.19,218.97,459.4,218.85,215.93,216.43,423.5,535.5,5.02,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Repair & Maintenance,Service Job,INR/Service,2024-06-01,2024,6,Monsoon,0,87.23,92.22,218.85,423.5,213.23,209.07,220.35,425.5,463.9,0.47,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Repair & Maintenance,Service Job,INR/Service,2024-07-01,2024,7,Monsoon,0,85.41,90.6,213.23,425.5,215.93,211.79,230.66,535.5,432.7,2.68,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Repair & Maintenance,Service Job,INR/Service,2024-08-01,2024,8,Monsoon,1,87.05,93.13,215.93,535.5,209.07,216.43,228.65,463.9,423.4,2.29,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Repair & Maintenance,Service Job,INR/Service,2024-09-01,2024,9,Monsoon,0,89.02,94.46,209.07,463.9,211.79,220.35,235.96,432.7,416.5,2.82,Upward,Gradual Price Hike
Jharkhand,Dhanbad,Baliapur,Dhangi,Digital / CSC / Online Services,Banking/Aadhaar,INR/Transaction,2024-01-01,2024,1,Winter,0,89.32,101.14,56.6,131.9,58.44,57.74,54.57,125.7,136.3,0.0,Upward,Gradual Price Hike
Jharkhand,Dhanbad,Baliapur,Dhangi,Digital / CSC / Online Services,Banking/Aadhaar,INR/Transaction,2024-02-01,2024,2,Winter,0,88.12,102.8,58.44,125.7,58.04,56.74,54.65,162.2,134.7,0.92,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Digital / CSC / Online Services,Banking/Aadhaar,INR/Transaction,2024-03-01,2024,3,Summer,1,88.46,103.96,58.04,162.2,57.74,55.61,52.34,136.3,133.2,0.79,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Digital / CSC / Online Services,Banking/Aadhaar,INR/Transaction,2024-04-01,2024,4,Summer,0,85.17,102.87,57.74,136.3,56.74,54.57,54.28,134.7,135.7,0.29,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Digital / CSC / Online Services,Banking/Aadhaar,INR/Transaction,2024-05-01,2024,5,Summer,0,84.62,106.52,56.74,134.7,55.61,54.65,55.05,133.2,155.3,0.55,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Digital / CSC / Online Services,Banking/Aadhaar,INR/Transaction,2024-06-01,2024,6,Monsoon,0,84.25,103.87,55.61,133.2,54.57,52.34,55.66,135.7,145.4,0.87,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Digital / CSC / Online Services,Banking/Aadhaar,INR/Transaction,2024-07-01,2024,7,Monsoon,0,82.42,102.32,54.57,135.7,54.65,54.28,57.5,155.3,138.2,0.89,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Digital / CSC / Online Services,Banking/Aadhaar,INR/Transaction,2024-08-01,2024,8,Monsoon,1,83.38,102.57,54.65,155.3,52.34,55.05,59.19,145.4,139.9,0.47,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Digital / CSC / Online Services,Banking/Aadhaar,INR/Transaction,2024-09-01,2024,9,Monsoon,0,82.01,102.71,52.34,145.4,54.28,55.66,60.02,138.2,133.8,1.07,Upward,Gradual Price Hike
Jharkhand,Dhanbad,Baliapur,Dhangi,Handicrafts / Artisan Products,Handcrafted Decor,INR/Piece,2024-01-01,2024,1,Winter,0,91.0,102.03,325.48,373.0,329.48,331.73,309.63,419.1,370.2,0.0,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Handicrafts / Artisan Products,Handcrafted Decor,INR/Piece,2024-02-01,2024,2,Winter,0,89.97,102.65,329.48,419.1,339.06,316.45,311.99,426.0,366.1,2.0,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Handicrafts / Artisan Products,Handcrafted Decor,INR/Piece,2024-03-01,2024,3,Summer,1,90.05,105.47,339.06,426.0,331.73,310.31,305.2,370.2,381.7,5.7,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Handicrafts / Artisan Products,Handcrafted Decor,INR/Piece,2024-04-01,2024,4,Summer,0,89.48,104.31,331.73,370.2,316.45,309.63,304.7,366.1,421.0,4.09,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Handicrafts / Artisan Products,Handcrafted Decor,INR/Piece,2024-05-01,2024,5,Summer,0,90.06,102.44,316.45,366.1,310.31,311.99,303.58,381.7,441.2,9.42,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Handicrafts / Artisan Products,Handcrafted Decor,INR/Piece,2024-06-01,2024,6,Monsoon,0,90.46,99.77,310.31,381.7,309.63,305.2,315.39,421.0,348.4,9.01,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Handicrafts / Artisan Products,Handcrafted Decor,INR/Piece,2024-07-01,2024,7,Monsoon,0,91.7,102.02,309.63,421.0,311.99,304.7,322.36,441.2,406.0,3.07,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Baliapur,Dhangi,Handicrafts / Artisan Products,Handcrafted Decor,INR/Piece,2024-08-01,2024,8,Monsoon,1,91.09,103.0,311.99,441.2,305.2,303.58,325.25,348.4,413.7,0.99,Downward,Promotional Discounting
Jharkhand,Dhanbad,Baliapur,Dhangi,Handicrafts / Artisan Products,Handcrafted Decor,INR/Piece,2024-09-01,2024,9,Monsoon,0,90.77,102.92,305.2,348.4,304.7,315.39,330.95,406.0,378.0,2.81,Upward,Competitive Market Rate
Jharkhand,Dhanbad,Govindpur,Behichiya,Dairy & Livestock,Raw Cow Milk,INR/Litre,2024-01-01,2024,1,Winter,0,91.3,98.34,43.58,72.5,44.31,44.46,42.08,66.4,70.7,0.0,Upward,Gradual Price Hike
Jharkhand,Dhanbad,Govindpur,Behichiya,Dairy & Livestock,Raw Cow Milk,INR/Litre,2024-02-01,2024,2,Winter,0,89.08,100.42,44.31,66.4,44.8,43.82,43.11,87.6,73.6,0.37,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Govindpur,Behichiya,Dairy & Livestock,Raw Cow Milk,INR/Litre,2024-03-01,2024,3,Summer,1,87.86,96.43,44.8,87.6,44.46,44.18,42.03,70.7,72.4,0.5,Stable,Promotional Discounting
Jharkhand,Dhanbad,Govindpur,Behichiya,Dairy & Livestock,Raw Cow Milk,INR/Litre,2024-04-01,2024,4,Summer,0,88.48,93.32,44.46,70.7,43.82,42.08,41.89,73.6,71.5,0.21,Downward,Promotional Discounting
Jharkhand,Dhanbad,Govindpur,Behichiya,Dairy & Livestock,Raw Cow Milk,INR/Litre,2024-05-01,2024,5,Summer,0,87.52,91.45,43.82,73.6,44.18,43.11,43.25,72.4,79.9,0.41,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Govindpur,Behichiya,Dairy & Livestock,Raw Cow Milk,INR/Litre,2024-06-01,2024,6,Monsoon,0,87.33,89.69,44.18,72.4,42.08,42.03,43.01,71.5,63.7,0.27,Downward,Promotional Discounting
Jharkhand,Dhanbad,Govindpur,Behichiya,Dairy & Livestock,Raw Cow Milk,INR/Litre,2024-07-01,2024,7,Monsoon,0,87.33,89.99,42.08,71.5,43.11,41.89,44.12,79.9,74.3,0.91,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Govindpur,Behichiya,Dairy & Livestock,Raw Cow Milk,INR/Litre,2024-08-01,2024,8,Monsoon,1,87.52,90.43,43.11,79.9,42.03,43.25,45.31,63.7,68.3,0.85,Stable,Promotional Discounting
Jharkhand,Dhanbad,Govindpur,Behichiya,Dairy & Livestock,Raw Cow Milk,INR/Litre,2024-09-01,2024,9,Monsoon,0,86.7,90.05,42.03,63.7,41.89,43.01,46.83,74.3,70.4,0.5,Upward,Competitive Market Rate
Jharkhand,Dhanbad,Govindpur,Behichiya,Poultry & Egg Production,Broiler Live Bird,INR/Kg,2024-01-01,2024,1,Winter,0,87.5,101.11,112.74,438.1,113.99,111.63,106.24,386.2,428.1,0.0,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Govindpur,Behichiya,Poultry & Egg Production,Broiler Live Bird,INR/Kg,2024-02-01,2024,2,Winter,0,89.54,101.37,113.99,386.2,115.28,110.98,105.92,480.4,406.5,0.63,Downward,Promotional Discounting
Jharkhand,Dhanbad,Govindpur,Behichiya,Poultry & Egg Production,Broiler Live Bird,INR/Kg,2024-03-01,2024,3,Summer,1,89.79,101.1,115.28,480.4,111.63,109.72,104.86,428.1,425.5,1.04,Downward,Promotional Discounting
Jharkhand,Dhanbad,Govindpur,Behichiya,Poultry & Egg Production,Broiler Live Bird,INR/Kg,2024-04-01,2024,4,Summer,0,89.67,101.12,111.63,428.1,110.98,106.24,105.04,406.5,445.6,1.51,Downward,Promotional Discounting
Jharkhand,Dhanbad,Govindpur,Behichiya,Poultry & Egg Production,Broiler Live Bird,INR/Kg,2024-05-01,2024,5,Summer,0,89.02,101.64,110.98,406.5,109.72,105.92,107.18,425.5,497.3,1.89,Downward,Promotional Discounting
Jharkhand,Dhanbad,Govindpur,Behichiya,Poultry & Egg Production,Broiler Live Bird,INR/Kg,2024-06-01,2024,6,Monsoon,0,89.5,100.83,109.72,425.5,106.24,104.86,107.67,445.6,417.1,0.79,Downward,Promotional Discounting
Jharkhand,Dhanbad,Govindpur,Behichiya,Poultry & Egg Production,Broiler Live Bird,INR/Kg,2024-07-01,2024,7,Monsoon,0,89.45,99.67,106.24,445.6,105.92,105.04,109.54,497.3,397.3,2.01,Stable,Competitive Market Rate
Jharkhand,Dhanbad,Govindpur,Behichiya,Poultry & Egg Production,Broiler Live Bird,INR/Kg,2024-08-01,2024,8,Monsoon,1,90.78,99.96,105.92,497.3,104.86,107.18,110.1,417.1,416.2,1.72,Stable,Promotional Discounting
